tokenID,name,description,file_name,attributes[Species],attributes[Body],attributes[Beak],attributes[Beak Style],attributes[Eyes],attributes[Eye Style],attributes[Cheeks],attributes[Crest],attributes[Crest Color],attributes[Crown],attributes[Crown Color],attributes[Accessory]
41,Robingoose #41,Honk honk,goose_0041.png,Goose,Purple,Yellow,Closed,Black,Solid,No,No,None,No,None,No
42,Robingoose #42,Honk honk,goose_0042.png,Goose,Pink,Salmon,Closed,Green,Two Tone,No,No,None,Yes,Yellow,No
43,Robingoose #43,Honk honk,goose_0043.png,Goose,Sky Blue,Purple,Closed,Black,Solid,No,No,None,No,None,No
44,Robingoose #44,Honk honk,goose_0044.png,Goose,Orange,Yellow,Open,Coral,Two Tone,Yes,No,None,No,None,Yes
45,Robingoose #45,Honk honk,goose_0045.png,Goose,Purple,Orange,Closed,Sky Blue,Two Tone,No,Yes,Purple,No,None,No
46,Robingoose #46,Honk honk,goose_0046.png,Goose,Pink,Yellow,Closed,Black,Solid,No,Yes,Pink,No,None,No
47,Robingoose #47,Honk honk,goose_0047.png,Goose,White,Turquoise,Open,Black,Solid,No,No,None,No,None,No
48,Robingoose #48,Honk honk,goose_0048.png,Goose,Yellow,White,Open,Black,Solid,Yes,No,None,No,None,No
49,Robingoose #49,Honk honk,goose_0049.png,Goose,Sky Blue,Coral,Closed,Black,Solid,No,Yes,Sky Blue,No,None,No
50,Robingoose #50,Honk honk,goose_0050.png,Goose,Black,Purple,Closed,White,Solid,No,Yes,Purple,No,None,No
51,Robingoose #51,Honk honk,goose_0051.png,Goose,White,Yellow,Closed,Red,Two Tone,No,No,None,No,None,No
52,Robingoose #52,Honk honk,goose_0052.png,Goose,Yellow,Sky Blue,Open,Black,Solid,Yes,Yes,Blue,No,None,No
53,Robingoose #53,Honk honk,goose_0053.png,Goose,Sky Blue,Lime,Open,Black,Solid,No,No,None,No,None,No
54,Robingoose #54,Honk honk,goose_0054.png,Goose,Lime,Purple,Closed,Blue,Two Tone,No,Yes,Lime,No,None,No
55,Robingoose #55,Honk honk,goose_0055.png,Goose,Red,Yellow,Open,Black,Solid,Yes,Yes,Red,No,None,No
56,Robingoose #56,Honk honk,goose_0056.png,Goose,White,Yellow,Closed,Black,Solid,No,Yes,Turquoise,No,None,No
57,Robingoose #57,Honk honk,goose_0057.png,Goose,Sky Blue,Orange,Open,Yellow,Two Tone,Yes,No,None,Yes,Yellow,No
58,Robingoose #58,Honk honk,goose_0058.png,Goose,Pink,Orange,Open,Black,Solid,No,Yes,Lime,No,None,No
59,Robingoose #59,Honk honk,goose_0059.png,Goose,Black,Orange,Open,Red,Solid,Yes,No,None,No,None,No
60,Robingoose #60,Honk honk,goose_0060.png,Goose,White,Coral,Closed,Black,Solid,No,Yes,White,No,None,No
61,Robingoose #61,Honk honk,goose_0061.png,Goose,Green,Yellow,Closed,Black,Solid,No,Yes,Green,No,None,No
62,Robingoose #62,Honk honk,goose_0062.png,Goose,Turquoise,Orange,Closed,Yellow,Two Tone,No,No,None,Yes,Black,No
63,Robingoose #63,Honk honk,goose_0063.png,Goose,White,Yellow,Open,Black,Solid,Yes,Yes,White,No,None,No
64,Robingoose #64,Honk honk,goose_0064.png,Goose,Orange,Yellow,Closed,Black,Solid,No,Yes,Orange,No,None,No
65,Robingoose #65,Honk honk,goose_0065.png,Goose,Yellow,Orange,Open,Black,Solid,No,No,None,No,None,No
66,Robingoose #66,Honk honk,goose_0066.png,Goose,Yellow,Green,Open,Black,Solid,No,No,None,No,None,No
67,Robingoose #67,Honk honk,goose_0067.png,Goose,Black,Purple,Open,Red,Solid,Yes,Yes,Black,No,None,No
68,Robingoose #68,Honk honk,goose_0068.png,Goose,White,Orange,Open,Black,Solid,Yes,No,None,No,None,No
69,Robingoose #69,Honk honk,goose_0069.png,Goose,Sky Blue,Orange,Open,Turquoise,Two Tone,No,Yes,Sky Blue,No,None,No
70,Robingoose #70,Honk honk,goose_0070.png,Goose,Coral,Yellow,Closed,Black,Solid,No,No,None,No,None,No
71,Robingoose #71,Honk honk,goose_0071.png,Goose,White,Black,Open,Lime,Two Tone,Yes,No,None,No,None,Yes
72,Robingoose #72,Honk honk,goose_0072.png,Goose,White,Orange,Closed,Black,Solid,No,No,None,No,None,No
73,Robingoose #73,Honk honk,goose_0073.png,Goose,Salmon,Black,Closed,Red,Solid,No,No,None,No,None,No
74,Robingoose #74,Honk honk,goose_0074.png,Goose,Black,Orange,Closed,White,Solid,No,No,None,No,None,No
75,Robingoose #75,Honk honk,goose_0075.png,Goose,Lime,Turquoise,Open,Purple,Two Tone,No,Yes,Lime,No,None,No
76,Robingoose #76,Honk honk,goose_0076.png,Goose,Pink,Purple,Closed,Black,Solid,No,Yes,Pink,No,None,No
77,Robingoose #77,Honk honk,goose_0077.png,Goose,Salmon,Yellow,Open,Black,Solid,Yes,Yes,Salmon,No,None,No
78,Robingoose #78,Honk honk,goose_0078.png,Goose,White,Blue,Closed,Black,Solid,No,No,None,No,None,No
79,Robingoose #79,Honk honk,goose_0079.png,Goose,Sky Blue,Pink,Closed,Black,Solid,No,No,None,No,None,No
80,Robingoose #80,Honk honk,goose_0080.png,Goose,Purple,Black,Closed,Yellow,Solid,No,No,None,No,None,No
81,Robingoose #81,Honk honk,goose_0081.png,Goose,Blue,Orange,Closed,Black,Solid,No,No,None,No,None,No
82,Robingoose #82,Honk honk,goose_0082.png,Goose,Blue,Black,Open,Coral,Two Tone,Yes,Yes,Blue,No,None,No
83,Robingoose #83,Honk honk,goose_0083.png,Goose,Salmon,Yellow,Open,Black,Solid,No,Yes,Salmon,No,None,No
84,Robingoose #84,Honk honk,goose_0084.png,Goose,White,Orange,Open,Black,Solid,Yes,Yes,Sky Blue,No,None,No
85,Robingoose #85,Honk honk,goose_0085.png,Goose,Coral,Yellow,Closed,White,Two Tone,No,Yes,White,No,None,No
86,Robingoose #86,Honk honk,goose_0086.png,Goose,Turquoise,White,Closed,Black,Solid,No,No,None,No,None,No
87,Robingoose #87,Honk honk,goose_0087.png,Goose,White,Black,Closed,Orange,Two Tone,No,No,None,No,None,No
88,Robingoose #88,Honk honk,goose_0088.png,Goose,Yellow,Coral,Closed,Black,Solid,No,Yes,Yellow,No,None,No
89,Robingoose #89,Honk honk,goose_0089.png,Goose,Red,White,Open,Black,Solid,No,Yes,Red,No,None,No
90,Robingoose #90,Honk honk,goose_0090.png,Goose,White,Blue,Closed,Red,Two Tone,No,No,None,No,None,Yes
91,Robingoose #91,Honk honk,goose_0091.png,Goose,Sky Blue,Yellow,Closed,Black,Solid,No,Yes,Sky Blue,No,None,No
92,Robingoose #92,Honk honk,goose_0092.png,Goose,Pink,Coral,Open,Salmon,Two Tone,No,No,None,No,None,No
93,Robingoose #93,Honk honk,goose_0093.png,Goose,Blue,Orange,Open,Black,Solid,Yes,Yes,Blue,No,None,No
94,Robingoose #94,Honk honk,goose_0094.png,Goose,White,Lime,Open,Black,Solid,No,No,None,No,None,No
95,Robingoose #95,Honk honk,goose_0095.png,Goose,Pink,Coral,Closed,Black,Solid,No,Yes,Pink,No,None,No
96,Robingoose #96,Honk honk,goose_0096.png,Goose,White,Orange,Open,Black,Solid,No,Yes,White,No,None,No
97,Robingoose #97,Honk honk,goose_0097.png,Goose,White,Orange,Open,Black,Solid,No,Yes,Black,No,None,No
98,Robingoose #98,Honk honk,goose_0098.png,Goose,Pink,Blue,Closed,White,Two Tone,No,No,None,No,None,No
99,Robingoose #99,Honk honk,goose_0099.png,Goose,Green,Yellow,Open,Black,Solid,No,Yes,Green,No,None,No
100,Robingoose #100,Honk honk,goose_0100.png,Goose,Red,Yellow,Open,Black,Solid,No,Yes,White,No,None,No
101,Robingoose #101,Honk honk,goose_0101.png,Goose,Lime,Black,Open,Pink,Solid,No,Yes,Lime,No,None,No
102,Robingoose #102,Honk honk,goose_0102.png,Goose,Black,Sky Blue,Closed,White,Solid,No,Yes,Black,No,None,No
103,Robingoose #103,Honk honk,goose_0103.png,Goose,Pink,Yellow,Open,Black,Solid,Yes,No,None,No,None,No
104,Robingoose #104,Honk honk,goose_0104.png,Goose,Turquoise,White,Open,Blue,Two Tone,Yes,No,None,Yes,Yellow,No
105,Robingoose #105,Honk honk,goose_0105.png,Goose,Green,Orange,Open,Blue,Two Tone,No,No,None,Yes,Black,No
106,Robingoose #106,Honk honk,goose_0106.png,Goose,Orange,Yellow,Open,Blue,Two Tone,No,No,None,No,None,Yes
107,Robingoose #107,Honk honk,goose_0107.png,Goose,Coral,Orange,Closed,Black,Solid,No,Yes,Coral,No,None,No
108,Robingoose #108,Honk honk,goose_0108.png,Goose,Sky Blue,Yellow,Open,Red,Two Tone,No,No,None,Yes,Black,No
109,Robingoose #109,Honk honk,goose_0109.png,Goose,White,Orange,Open,Black,Solid,Yes,No,None,No,None,No
110,Robingoose #110,Honk honk,goose_0110.png,Goose,White,Red,Closed,Black,Solid,No,Yes,White,No,None,No
111,Robingoose #111,Honk honk,goose_0111.png,Goose,White,Yellow,Closed,Black,Solid,No,No,None,No,None,No
112,Robingoose #112,Honk honk,goose_0112.png,Goose,Purple,Orange,Open,White,Two Tone,No,Yes,Purple,No,None,Yes
113,Robingoose #113,Honk honk,goose_0113.png,Goose,White,Green,Closed,Black,Solid,No,No,None,No,None,No
114,Robingoose #114,Honk honk,goose_0114.png,Goose,Purple,Orange,Closed,Black,Solid,No,No,None,No,None,No
115,Robingoose #115,Honk honk,goose_0115.png,Goose,Purple,Pink,Closed,Yellow,Two Tone,No,No,None,Yes,Black,No
116,Robingoose #116,Honk honk,goose_0116.png,Goose,Pink,Yellow,Open,Black,Solid,No,No,None,No,None,No
117,Robingoose #117,Honk honk,goose_0117.png,Goose,White,Yellow,Open,Sky Blue,Two Tone,Yes,Yes,White,No,None,No
118,Robingoose #118,Honk honk,goose_0118.png,Goose,Orange,Yellow,Open,Black,Solid,No,Yes,Black,No,None,No
119,Robingoose #119,Honk honk,goose_0119.png,Goose,White,Yellow,Closed,Black,Solid,No,Yes,White,No,None,No
120,Robingoose #120,Honk honk,goose_0120.png,Goose,Yellow,Orange,Closed,Black,Solid,No,No,None,No,None,No
121,Robingoose #121,Honk honk,goose_0121.png,Goose,White,Green,Open,Orange,Two Tone,No,No,None,No,None,No
122,Robingoose #122,Honk honk,goose_0122.png,Goose,Sky Blue,Green,Closed,Black,Solid,No,Yes,Sky Blue,No,None,No
123,Robingoose #123,Honk honk,goose_0123.png,Goose,Red,Yellow,Open,Salmon,Two Tone,Yes,Yes,Red,No,None,No
124,Robingoose #124,Honk honk,goose_0124.png,Goose,White,Sky Blue,Closed,Black,Solid,No,No,None,No,None,No
125,Robingoose #125,Honk honk,goose_0125.png,Goose,White,Yellow,Open,Red,Two Tone,No,Yes,Green,No,None,No
126,Robingoose #126,Honk honk,goose_0126.png,Goose,Orange,Blue,Open,Black,Solid,No,No,None,No,None,No
127,Robingoose #127,Honk honk,goose_0127.png,Goose,Red,Yellow,Open,Black,Solid,Yes,Yes,Red,No,None,No
128,Robingoose #128,Honk honk,goose_0128.png,Goose,Red,Black,Closed,Salmon,Solid,No,Yes,Red,No,None,No
129,Robingoose #129,Honk honk,goose_0129.png,Goose,White,Coral,Open,Black,Solid,No,No,None,No,None,No
130,Robingoose #130,Honk honk,goose_0130.png,Goose,Blue,Orange,Open,Lime,Two Tone,Yes,Yes,Blue,No,None,Yes
131,Robingoose #131,Honk honk,goose_0131.png,Goose,Orange,Pink,Open,Black,Solid,Yes,No,None,No,None,No
132,Robingoose #132,Honk honk,goose_0132.png,Goose,Blue,Purple,Open,Black,Solid,Yes,Yes,Turquoise,No,None,No
133,Robingoose #133,Honk honk,goose_0133.png,Goose,White,Yellow,Closed,Turquoise,Two Tone,No,No,None,No,None,No
134,Robingoose #134,Honk honk,goose_0134.png,Goose,Green,Black,Closed,White,Two Tone,No,Yes,Sky Blue,No,None,No
135,Robingoose #135,Honk honk,goose_0135.png,Goose,Black,Salmon,Open,White,Solid,Yes,Yes,Yellow,No,None,No
136,Robingoose #136,Honk honk,goose_0136.png,Goose,Black,Yellow,Open,Red,Solid,No,Yes,Black,No,None,No
137,Robingoose #137,Honk honk,goose_0137.png,Goose,Coral,Orange,Closed,Black,Solid,No,No,None,No,None,No
138,Robingoose #138,Honk honk,goose_0138.png,Goose,Coral,Black,Open,Sky Blue,Solid,Yes,No,None,No,None,No
139,Robingoose #139,Honk honk,goose_0139.png,Goose,Lime,Sky Blue,Open,Turquoise,Two Tone,No,Yes,Lime,No,None,No
140,Robingoose #140,Honk honk,goose_0140.png,Goose,White,Orange,Open,Black,Solid,Yes,Yes,White,No,None,No
141,Robingoose #141,Honk honk,goose_0141.png,Goose,Lime,Blue,Open,Black,Solid,Yes,No,None,No,None,No
142,Robingoose #142,Honk honk,goose_0142.png,Goose,Sky Blue,White,Open,Black,Solid,No,No,None,No,None,No
143,Robingoose #143,Honk honk,goose_0143.png,Goose,White,Purple,Closed,Yellow,Two Tone,No,No,None,No,None,No
144,Robingoose #144,Honk honk,goose_0144.png,Goose,Pink,Yellow,Closed,Black,Solid,No,No,None,No,None,No
145,Robingoose #145,Honk honk,goose_0145.png,Goose,White,Orange,Closed,Blue,Two Tone,No,No,None,No,None,No
146,Robingoose #146,Honk honk,goose_0146.png,Goose,Yellow,Black,Closed,Orange,Two Tone,No,No,None,No,None,No
147,Robingoose #147,Honk honk,goose_0147.png,Goose,White,Yellow,Closed,Pink,Two Tone,No,Yes,White,No,None,No
148,Robingoose #148,Honk honk,goose_0148.png,Goose,White,Lime,Open,Purple,Two Tone,No,Yes,Red,No,None,No
149,Robingoose #149,Honk honk,goose_0149.png,Goose,Orange,Red,Closed,Black,Solid,No,Yes,Black,No,None,No
150,Robingoose #150,Honk honk,goose_0150.png,Goose,Sky Blue,Yellow,Open,Green,Two Tone,No,No,None,No,None,No
151,Robingoose #151,Honk honk,goose_0151.png,Goose,Lime,Orange,Closed,Sky Blue,Two Tone,No,Yes,Lime,No,None,No
152,Robingoose #152,Honk honk,goose_0152.png,Goose,Orange,Salmon,Open,Black,Solid,No,Yes,Orange,No,None,No
153,Robingoose #153,Honk honk,goose_0153.png,Goose,Salmon,Orange,Open,Black,Solid,Yes,No,None,No,None,No
154,Robingoose #154,Honk honk,goose_0154.png,Goose,White,Pink,Open,Black,Solid,Yes,No,None,No,None,No
155,Robingoose #155,Honk honk,goose_0155.png,Goose,Lime,Orange,Closed,Black,Solid,No,No,None,No,None,No
156,Robingoose #156,Honk honk,goose_0156.png,Goose,Sky Blue,Orange,Open,Black,Solid,Yes,Yes,Sky Blue,No,None,No
157,Robingoose #157,Honk honk,goose_0157.png,Goose,White,Salmon,Closed,Black,Solid,No,Yes,White,No,None,No
158,Robingoose #158,Honk honk,goose_0158.png,Goose,White,Orange,Open,Sky Blue,Two Tone,No,Yes,White,No,None,Yes
159,Robingoose #159,Honk honk,goose_0159.png,Goose,Orange,Purple,Closed,Blue,Two Tone,No,No,None,Yes,Black,No
160,Robingoose #160,Honk honk,goose_0160.png,Goose,Orange,Yellow,Closed,Green,Two Tone,No,No,None,No,None,No
161,Robingoose #161,Honk honk,goose_0161.png,Goose,Pink,Orange,Open,Black,Solid,Yes,Yes,White,No,None,No
162,Robingoose #162,Honk honk,goose_0162.png,Goose,White,Pink,Closed,Black,Solid,No,Yes,White,No,None,No
163,Robingoose #163,Honk honk,goose_0163.png,Goose,Turquoise,Sky Blue,Open,Coral,Two Tone,No,No,None,No,None,Yes
164,Robingoose #164,Honk honk,goose_0164.png,Goose,Pink,Yellow,Open,Black,Solid,Yes,Yes,Pink,No,None,No
165,Robingoose #165,Honk honk,goose_0165.png,Goose,Purple,Green,Open,Black,Solid,No,No,None,No,None,No
166,Robingoose #166,Honk honk,goose_0166.png,Goose,Sky Blue,Orange,Open,Black,Solid,No,No,None,No,None,No
167,Robingoose #167,Honk honk,goose_0167.png,Goose,White,Purple,Open,Black,Solid,Yes,Yes,White,No,None,No
168,Robingoose #168,Honk honk,goose_0168.png,Goose,White,Yellow,Open,Black,Solid,No,No,None,No,None,No
169,Robingoose #169,Honk honk,goose_0169.png,Goose,Blue,Pink,Open,Black,Solid,Yes,Yes,Blue,No,None,No
170,Robingoose #170,Honk honk,goose_0170.png,Goose,Pink,Yellow,Open,Purple,Two Tone,Yes,Yes,Pink,No,None,No
171,Robingoose #171,Honk honk,goose_0171.png,Goose,Coral,Salmon,Open,Orange,Two Tone,No,Yes,Coral,No,None,Yes
172,Robingoose #172,Honk honk,goose_0172.png,Goose,White,Pink,Open,Black,Solid,No,Yes,White,No,None,No
173,Robingoose #173,Honk honk,goose_0173.png,Goose,Orange,Pink,Open,Black,Solid,Yes,Yes,Orange,No,None,No
174,Robingoose #174,Honk honk,goose_0174.png,Goose,Coral,Yellow,Closed,Purple,Two Tone,No,Yes,Coral,No,None,Yes
175,Robingoose #175,Honk honk,goose_0175.png,Goose,Red,Orange,Open,Black,Solid,No,Yes,Red,No,None,No
176,Robingoose #176,Honk honk,goose_0176.png,Goose,Purple,Yellow,Closed,Blue,Two Tone,No,Yes,Sky Blue,No,None,No
177,Robingoose #177,Honk honk,goose_0177.png,Goose,White,Blue,Open,Black,Solid,Yes,No,None,No,None,No
178,Robingoose #178,Honk honk,goose_0178.png,Goose,White,Green,Open,Black,Solid,Yes,No,None,No,None,No
179,Robingoose #179,Honk honk,goose_0179.png,Goose,Salmon,Orange,Open,Turquoise,Two Tone,Yes,No,None,No,None,No
180,Robingoose #180,Honk honk,goose_0180.png,Goose,White,Yellow,Open,Black,Solid,Yes,No,None,No,None,No
181,Robingoose #181,Honk honk,goose_0181.png,Goose,Turquoise,Yellow,Closed,Salmon,Two Tone,No,No,None,Yes,Black,No
182,Robingoose #182,Honk honk,goose_0182.png,Goose,White,Sky Blue,Closed,Red,Two Tone,No,No,None,No,None,No
183,Robingoose #183,Honk honk,goose_0183.png,Goose,Purple,Orange,Open,Black,Solid,No,No,None,No,None,No
184,Robingoose #184,Honk honk,goose_0184.png,Goose,Purple,Orange,Open,Black,Solid,No,Yes,Purple,No,None,No
185,Robingoose #185,Honk honk,goose_0185.png,Goose,Purple,Turquoise,Closed,Black,Solid,No,No,None,No,None,No
186,Robingoose #186,Honk honk,goose_0186.png,Goose,Pink,Red,Closed,Black,Solid,No,Yes,Pink,No,None,No
187,Robingoose #187,Honk honk,goose_0187.png,Goose,Purple,Pink,Open,Red,Two Tone,Yes,No,None,No,None,No
188,Robingoose #188,Honk honk,goose_0188.png,Goose,Purple,White,Open,Salmon,Two Tone,No,No,None,No,None,Yes
189,Robingoose #189,Honk honk,goose_0189.png,Goose,Sky Blue,Orange,Closed,Black,Solid,No,No,None,No,None,No
190,Robingoose #190,Honk honk,goose_0190.png,Goose,White,Turquoise,Closed,Black,Solid,No,Yes,White,No,None,No
191,Robingoose #191,Honk honk,goose_0191.png,Goose,White,Coral,Closed,Black,Solid,No,No,None,No,None,No
192,Robingoose #192,Honk honk,goose_0192.png,Goose,Coral,White,Open,Orange,Two Tone,Yes,No,None,No,None,No
193,Robingoose #193,Honk honk,goose_0193.png,Goose,Pink,White,Closed,Black,Solid,No,No,None,No,None,No
194,Robingoose #194,Honk honk,goose_0194.png,Goose,Green,Yellow,Open,Orange,Two Tone,No,Yes,Green,No,None,No
195,Robingoose #195,Honk honk,goose_0195.png,Goose,Lime,Orange,Open,Black,Solid,No,No,None,No,None,No
196,Robingoose #196,Honk honk,goose_0196.png,Goose,Coral,Blue,Closed,Black,Solid,No,Yes,Coral,No,None,No
197,Robingoose #197,Honk honk,goose_0197.png,Goose,Lime,Orange,Open,Black,Solid,No,Yes,Lime,No,None,No
198,Robingoose #198,Honk honk,goose_0198.png,Goose,Coral,Orange,Open,Turquoise,Two Tone,No,Yes,Coral,No,None,Yes
199,Robingoose #199,Honk honk,goose_0199.png,Goose,Coral,Yellow,Open,Black,Solid,Yes,Yes,Yellow,No,None,No
200,Robingoose #200,Honk honk,goose_0200.png,Goose,Orange,Sky Blue,Closed,Black,Solid,No,No,None,No,None,No
201,Robingoose #201,Honk honk,goose_0201.png,Goose,Green,Orange,Open,Red,Two Tone,No,Yes,Green,No,None,Yes
202,Robingoose #202,Honk honk,goose_0202.png,Goose,Turquoise,Orange,Closed,Black,Solid,No,Yes,Turquoise,No,None,No
203,Robingoose #203,Honk honk,goose_0203.png,Goose,Black,Orange,Open,Red,Solid,No,No,None,No,None,No
204,Robingoose #204,Honk honk,goose_0204.png,Goose,Red,Yellow,Open,Purple,Two Tone,No,No,None,Yes,Black,No
205,Robingoose #205,Honk honk,goose_0205.png,Goose,Lime,Orange,Open,Black,Solid,Yes,Yes,Lime,No,None,No
206,Robingoose #206,Honk honk,goose_0206.png,Goose,White,Yellow,Open,Black,Solid,No,Yes,Coral,No,None,No
207,Robingoose #207,Honk honk,goose_0207.png,Goose,Purple,Red,Closed,Black,Solid,No,No,None,No,None,No
208,Robingoose #208,Honk honk,goose_0208.png,Goose,White,Blue,Closed,Black,Solid,No,Yes,Purple,No,None,No
209,Robingoose #209,Honk honk,goose_0209.png,Goose,White,Orange,Closed,Red,Two Tone,No,No,None,Yes,Black,No
210,Robingoose #210,Honk honk,goose_0210.png,Goose,Black,Lime,Open,Red,Solid,Yes,Yes,Orange,No,None,No
211,Robingoose #211,Honk honk,goose_0211.png,Goose,Green,White,Open,Black,Solid,Yes,Yes,Green,No,None,No
212,Robingoose #212,Honk honk,goose_0212.png,Goose,Red,Orange,Closed,Purple,Two Tone,No,No,None,No,None,No
213,Robingoose #213,Honk honk,goose_0213.png,Goose,Purple,Blue,Open,Black,Solid,Yes,Yes,Purple,No,None,No
214,Robingoose #214,Honk honk,goose_0214.png,Goose,Salmon,Yellow,Closed,Green,Two Tone,No,Yes,Salmon,No,None,No
215,Robingoose #215,Honk honk,goose_0215.png,Goose,Lime,Sky Blue,Open,Black,Solid,Yes,Yes,Lime,No,None,No
216,Robingoose #216,Honk honk,goose_0216.png,Goose,White,Lime,Closed,Black,Solid,No,Yes,White,No,None,No
217,Robingoose #217,Honk honk,goose_0217.png,Goose,White,Orange,Open,Black,Solid,No,No,None,No,None,No
218,Robingoose #218,Honk honk,goose_0218.png,Goose,Orange,Coral,Closed,Black,Solid,No,Yes,Coral,No,None,No
219,Robingoose #219,Honk honk,goose_0219.png,Goose,White,Yellow,Open,Black,Solid,No,No,None,No,None,No
220,Robingoose #220,Honk honk,goose_0220.png,Goose,Green,Orange,Closed,Black,Solid,No,Yes,Green,No,None,No
